uid,text_info
100299,1931 Elsie Goldsack Pittman (GB) d. Joan Ridley (GB) 3-6 6-3 6-3
100300,1932 Joan Ridley (GB) d. Alice Francis 6-3 6-0
100301,1939 Josephine Sanfilippo d. Nellie Sheer 8-6 10-12 6-2
100302,1928 Analia Obarrio de Aguirre d. Maria Elena Bushell 6-0 6-1
100303,1929 Analia Obarrio de Aguirre d. Maria Elena Bushell 6-4 6-1
100304,1930 Lili de Alvarez (Esp) d. Phoebe Holcroft Watson (GB) 6-2 6-2
100305,1931 Cilly Aussem (Ger) d. Irmgard Rost (Ger) 6-1 6-4
100306,1932 Anita Lizana (Chi) d. Julieta Ezcurra Dellepiane 6-3 6-3
100307,1933 Maria Elena Bushell de Moss d. Monica Ricketts 6-2 6-8 6-3
100308,1934 Monica Ricketts d. Maria Garcia de Sola (Esp) 2-6 6-1 6-3
100309,1935 Monica Ricketts d. Ana Pauwels de Madrid 6-0 6-3
100310,1936 Leonilda Giusti d. Maria Elena Bushell de Moss 6-2 6-4
100311,1937 Maria Elena Bushell de Moss d. Denise Rutherford de Zappa 6-2 4-6 6-3
100312,1938 Felisa Piedrola d. Denise Rutherford de Zappa 6-4 7-5
100313,1939 Felisa Piedrola d. Maria Teran 4-6 7-5 4-0 ret.
100314,1940 Dorothy Bundy (US) d. Sarah Palfrey Cooke (US) 6-1 4-6 6-3
100315,1941 Sarah Palfrey Cooke (US) d. Dorothy Bundy (US) 3-6 9-7 7-5
100316,1942 Felisa Piedrola d. Maria Teran 8-6 6-2
100317,1943 Felisa Piedrola d. Maria Teran de Weiss 6-4 6-3
100318,1944 Felisa Piedrola d. Maria Teran de Weiss 3-6 13-11 6-1
100319,1946 Margaret Osborne (US) d. Louise Brough (US) 5-7 6-4 6-4
100320,1947 Pat Canning Todd (US) d. Doris Hart (US) 6-3 6-4
100321,1948 Pat Canning Todd (US) d. Maria Teran de Weiss 7-5 6-4
100322,1949 Barbara Scofield (US) d. Nancy Chaffee (US) 6-3 6-2
100323,1950 Felisa Piedrola de Zappa d. Elena Lehmann 6-4 3-6 6-3
100324,1951 Elena Lehmann d. Felisa Piedrola de Zappa 6-4 3-6 6-4
100325,1953 Edda Buding (Frg) d. Julia Borzone 7-5 6-3
100326,1954 Silvana Lazzarino (Ita) d. Edda Buding (Frg) 8-6 6-2
100327,1955 Ingrid Metzner (Bra) d. June Hanson 6-1 6-4
100328,1956 Nora Bonifacino de Somoza d. June Hanson 6-4 6-0
100329,1957 June Hanson d. Nora Bonifacino de Somoza 6-1 6-1
100330,1958 Shirley Bloomer (GB) d. Margaret Hellyer (Aus) 2-6 6-2 12-10
100331,1959 Nora Bonifacino de Somoza vs Norma Baylon 6-3 5-7 divided *
100332,1960 Nora Bonifacino de Somoza d. Mabel Bove 7-5 6-4
100333,1961 Yola Ramirez (Mex) d. Darlene Hard (US) 6-1 6-2
100334,1962 Norma Baylon d. Vera Puzejova Sukova (Tch) 5-7 6-4 6-3
100335,1963 Vera Puzejova Sukova (Tch) d. Norma Baylon 6-2 6-4
100336,1964 Nancy Richey (US) d. Maria Bueno (Bra) 4-6 6-2 6-4
100337,1965 Nancy Richey (US) d. Norma Baylon 6-2 6-4
100338,1966 Norma Baylon d. Nancy Richey (US) 6-3 7-9 6-4
100339,1967 Billie Jean Moffitt King (US) d. Rosie Casals (US) 6-3 3-6 6-2
100340,1968 Ann Haydon Jones (GB) d. Nancy Richey (US) walkover
100341,1969 Helga Niessen (Frg) d. Rosie Casals (US) 1-6 6-4 6-2
100342,1970 Beatriz Araujo d. Raquel Giscafré 6-4 6-4
100343,1971 Helga Niessen Masthoff (Frg) d. Heidi Schildknecht Orth (Frg) 6-1 7-5
100344,1972 Virginia Wade (GB) d. Fiorella Bonicelli (Uru) 6-4 6-1
